location,date,vaccine,total_vaccinations
Austria,2021-08-13,Oxford/AstraZeneca,1572563
Austria,2021-08-13,Pfizer/BioNTech,7218706
Austria,2021-08-20,Johnson&Johnson,244930
Austria,2021-08-20,Moderna,1015629
Austria,2021-08-20,Oxford/AstraZeneca,1575206
Austria,2021-08-20,Pfizer/BioNTech,7314119
Austria,2021-08-27,Johnson&Johnson,258944
Austria,2021-08-27,Moderna,1019490
Austria,2021-08-27,Oxford/AstraZeneca,1576971
Austria,2021-08-27,Pfizer/BioNTech,7374422
Austria,2021-09-03,Johnson&Johnson,272107
Austria,2021-09-03,Moderna,1024514
Austria,2021-09-03,Oxford/AstraZeneca,1578806
Austria,2021-09-03,Pfizer/BioNTech,7427324
Austria,2021-09-10,Johnson&Johnson,286277
Austria,2021-09-10,Moderna,1027682
Austria,2021-09-10,Oxford/AstraZeneca,1579850
Austria,2021-09-10,Pfizer/BioNTech,7484185
Austria,2021-09-17,Johnson&Johnson,297859
Austria,2021-09-17,Moderna,1032283
Austria,2021-09-17,Oxford/AstraZeneca,1580718
Austria,2021-09-17,Pfizer/BioNTech,7556751
Austria,2021-09-24,Johnson&Johnson,311851
Austria,2021-09-24,Moderna,1036503
Austria,2021-09-24,Oxford/AstraZeneca,1581766
Austria,2021-09-24,Pfizer/BioNTech,7632156
Austria,2021-10-01,Johnson&Johnson,319555
Austria,2021-10-01,Moderna,1041108
Austria,2021-10-01,Oxford/AstraZeneca,1582417
Austria,2021-10-01,Pfizer/BioNTech,7715660
Austria,2021-10-08,Johnson&Johnson,323861
Austria,2021-10-08,Moderna,1046743
Austria,2021-10-08,Oxford/AstraZeneca,1582748
Austria,2021-10-08,Pfizer/BioNTech,7829540
Austria,2021-10-15,Johnson&Johnson,326797
Austria,2021-10-15,Moderna,1053588
Austria,2021-10-15,Oxford/AstraZeneca,1583038
Austria,2021-10-15,Pfizer/BioNTech,7939125
Austria,2021-10-22,Johnson&Johnson,330346
Austria,2021-10-22,Moderna,1061963
Austria,2021-10-22,Oxford/AstraZeneca,1583232
Austria,2021-10-22,Pfizer/BioNTech,8068175
Austria,2021-10-29,Johnson&Johnson,335969
Austria,2021-10-29,Moderna,1068705
Austria,2021-10-29,Oxford/AstraZeneca,1583423
Austria,2021-10-29,Pfizer/BioNTech,8187350
Austria,2021-11-05,Johnson&Johnson,340966
Austria,2021-11-05,Moderna,1082618
Austria,2021-11-05,Oxford/AstraZeneca,1583628
Austria,2021-11-05,Pfizer/BioNTech,8411695
Austria,2021-11-12,Johnson&Johnson,345621
Austria,2021-11-12,Moderna,1112112
Austria,2021-11-12,Oxford/AstraZeneca,1584013
Austria,2021-11-12,Pfizer/BioNTech,8844063
Austria,2021-11-19,Johnson&Johnson,348559
Austria,2021-11-19,Moderna,1156510
Austria,2021-11-19,Oxford/AstraZeneca,1584271
Austria,2021-11-19,Pfizer/BioNTech,9452619
Austria,2021-11-26,Johnson&Johnson,350349
Austria,2021-11-26,Moderna,1224842
Austria,2021-11-26,Oxford/AstraZeneca,1584519
Austria,2021-11-26,Pfizer/BioNTech,10124376
Austria,2021-12-03,Johnson&Johnson,351584
Austria,2021-12-03,Moderna,1299448
Austria,2021-12-03,Oxford/AstraZeneca,1584690
Austria,2021-12-03,Pfizer/BioNTech,10752586
Austria,2021-12-10,Johnson&Johnson,352875
Austria,2021-12-10,Moderna,1370251
Austria,2021-12-10,Oxford/AstraZeneca,1584757
Austria,2021-12-10,Pfizer/BioNTech,11297267
Austria,2021-12-17,Johnson&Johnson,354668
Austria,2021-12-17,Moderna,1430781
Austria,2021-12-17,Oxford/AstraZeneca,1584797
Austria,2021-12-17,Pfizer/BioNTech,11844658
Austria,2021-12-24,Johnson&Johnson,355754
Austria,2021-12-24,Moderna,1456074
Austria,2021-12-24,Oxford/AstraZeneca,1584826
Austria,2021-12-24,Pfizer/BioNTech,12089543
Austria,2021-12-31,Johnson&Johnson,357181
Austria,2021-12-31,Moderna,1472481
Austria,2021-12-31,Oxford/AstraZeneca,1584842
Austria,2021-12-31,Pfizer/BioNTech,12257725
Austria,2022-01-07,Johnson&Johnson,358470
Austria,2022-01-07,Moderna,1495671
Austria,2022-01-07,Oxford/AstraZeneca,1584850
Austria,2022-01-07,Pfizer/BioNTech,12467696
Austria,2022-01-14,Johnson&Johnson,359047
Austria,2022-01-14,Moderna,1521015
Austria,2022-01-14,Oxford/AstraZeneca,1584868
Austria,2022-01-14,Pfizer/BioNTech,12722092
Austria,2022-01-21,Johnson&Johnson,359447
Austria,2022-01-21,Moderna,1537819
Austria,2022-01-21,Oxford/AstraZeneca,1584879
Austria,2022-01-21,Pfizer/BioNTech,12912534
Austria,2022-01-28,Johnson&Johnson,359733
Austria,2022-01-28,Moderna,1549126
Austria,2022-01-28,Oxford/AstraZeneca,1584889
Austria,2022-01-28,Pfizer/BioNTech,13067702
Austria,2022-02-04,Johnson&Johnson,359861
Austria,2022-02-04,Moderna,1556274
Austria,2022-02-04,Oxford/AstraZeneca,1584897
Austria,2022-02-04,Pfizer/BioNTech,13175379
Belgium,2021-01-08,Johnson&Johnson,0
Belgium,2021-01-08,Moderna,0
Belgium,2021-01-08,Oxford/AstraZeneca,0
Belgium,2021-01-08,Pfizer/BioNTech,28280
Belgium,2021-01-15,Johnson&Johnson,0
Belgium,2021-01-15,Moderna,60
Belgium,2021-01-15,Oxford/AstraZeneca,0
Belgium,2021-01-15,Pfizer/BioNTech,127471
Belgium,2021-01-22,Johnson&Johnson,0
Belgium,2021-01-22,Moderna,4568
Belgium,2021-01-22,Oxford/AstraZeneca,0
Belgium,2021-01-22,Pfizer/BioNTech,245615
Belgium,2021-01-29,Johnson&Johnson,0
Belgium,2021-01-29,Moderna,6294
Belgium,2021-01-29,Oxford/AstraZeneca,0
Belgium,2021-01-29,Pfizer/BioNTech,335791
Belgium,2021-02-05,Johnson&Johnson,0
Belgium,2021-02-05,Moderna,16161
Belgium,2021-02-05,Oxford/AstraZeneca,0
Belgium,2021-02-05,Pfizer/BioNTech,465359
Belgium,2021-02-12,Johnson&Johnson,0
Belgium,2021-02-12,Moderna,25837
Belgium,2021-02-12,Oxford/AstraZeneca,415
Belgium,2021-02-12,Pfizer/BioNTech,601434
Belgium,2021-02-19,Johnson&Johnson,0
Belgium,2021-02-19,Moderna,30698
Belgium,2021-02-19,Oxford/AstraZeneca,11062
Belgium,2021-02-19,Pfizer/BioNTech,702515
Belgium,2021-02-26,Johnson&Johnson,0
Belgium,2021-02-26,Moderna,33235
Belgium,2021-02-26,Oxford/AstraZeneca,45860
Belgium,2021-02-26,Pfizer/BioNTech,791678
Belgium,2021-03-05,Johnson&Johnson,0
Belgium,2021-03-05,Moderna,52230
Belgium,2021-03-05,Oxford/AstraZeneca,110916
Belgium,2021-03-05,Pfizer/BioNTech,881399
Belgium,2021-03-12,Johnson&Johnson,0
Belgium,2021-03-12,Moderna,68286
Belgium,2021-03-12,Oxford/AstraZeneca,192511
Belgium,2021-03-12,Pfizer/BioNTech,978416
Belgium,2021-03-19,Johnson&Johnson,0
Belgium,2021-03-19,Moderna,90902
Belgium,2021-03-19,Oxford/AstraZeneca,352359
Belgium,2021-03-19,Pfizer/BioNTech,1089413
Belgium,2021-03-26,Johnson&Johnson,0
Belgium,2021-03-26,Moderna,101383
Belgium,2021-03-26,Oxford/AstraZeneca,463560
Belgium,2021-03-26,Pfizer/BioNTech,1286851
Belgium,2021-04-02,Johnson&Johnson,0
Belgium,2021-04-02,Moderna,129413
Belgium,2021-04-02,Oxford/AstraZeneca,523910
Belgium,2021-04-02,Pfizer/BioNTech,1546399
Belgium,2021-04-09,Johnson&Johnson,0
Belgium,2021-04-09,Moderna,176875
Belgium,2021-04-09,Oxford/AstraZeneca,603913
Belgium,2021-04-09,Pfizer/BioNTech,1865582
Belgium,2021-04-16,Johnson&Johnson,0
Belgium,2021-04-16,Moderna,211767
Belgium,2021-04-16,Oxford/AstraZeneca,785020
Belgium,2021-04-16,Pfizer/BioNTech,2143937
Belgium,2021-04-23,Johnson&Johnson,0
Belgium,2021-04-23,Moderna,263429
Belgium,2021-04-23,Oxford/AstraZeneca,842291
Belgium,2021-04-23,Pfizer/BioNTech,2462154
Belgium,2021-04-30,Johnson&Johnson,3149
Belgium,2021-04-30,Moderna,290721
Belgium,2021-04-30,Oxford/AstraZeneca,908115
Belgium,2021-04-30,Pfizer/BioNTech,2819180
Belgium,2021-05-07,Johnson&Johnson,24343
Belgium,2021-05-07,Moderna,348873
Belgium,2021-05-07,Oxford/AstraZeneca,1011420
Belgium,2021-05-07,Pfizer/BioNTech,3372675
Belgium,2021-05-14,Johnson&Johnson,30288
Belgium,2021-05-14,Moderna,403711
Belgium,2021-05-14,Oxford/AstraZeneca,1104929
Belgium,2021-05-14,Pfizer/BioNTech,3825668
Belgium,2021-05-21,Johnson&Johnson,51119
Belgium,2021-05-21,Moderna,505913
Belgium,2021-05-21,Oxford/AstraZeneca,1372253
Belgium,2021-05-21,Pfizer/BioNTech,4196251
Belgium,2021-05-28,Johnson&Johnson,75146
Belgium,2021-05-28,Moderna,580507
Belgium,2021-05-28,Oxford/AstraZeneca,1472623
Belgium,2021-05-28,Pfizer/BioNTech,4639826
Belgium,2021-06-04,Johnson&Johnson,99190
Belgium,2021-06-04,Moderna,657032
Belgium,2021-06-04,Oxford/AstraZeneca,1576424
Belgium,2021-06-04,Pfizer/BioNTech,5340371
Belgium,2021-06-11,Johnson&Johnson,145723
Belgium,2021-06-11,Moderna,743583
Belgium,2021-06-11,Oxford/AstraZeneca,1764353
Belgium,2021-06-11,Pfizer/BioNTech,6093826
Belgium,2021-06-18,Johnson&Johnson,215318
Belgium,2021-06-18,Moderna,850108
Belgium,2021-06-18,Oxford/AstraZeneca,1899722
Belgium,2021-06-18,Pfizer/BioNTech,6809086
Belgium,2021-06-25,Johnson&Johnson,246490
Belgium,2021-06-25,Moderna,962975
Belgium,2021-06-25,Oxford/AstraZeneca,1969369
Belgium,2021-06-25,Pfizer/BioNTech,7471226
Belgium,2021-07-02,Johnson&Johnson,270259
Belgium,2021-07-02,Moderna,1046776
Belgium,2021-07-02,Oxford/AstraZeneca,2069735
Belgium,2021-07-02,Pfizer/BioNTech,7942620
Belgium,2021-07-09,Johnson&Johnson,285565
Belgium,2021-07-09,Moderna,1108685
Belgium,2021-07-09,Oxford/AstraZeneca,2297267
Belgium,2021-07-09,Pfizer/BioNTech,8480560
Belgium,2021-07-16,Johnson&Johnson,303956
Belgium,2021-07-16,Moderna,1163677
Belgium,2021-07-16,Oxford/AstraZeneca,2452084
Belgium,2021-07-16,Pfizer/BioNTech,8990422
Belgium,2021-07-23,Johnson&Johnson,314810
Belgium,2021-07-23,Moderna,1217450
Belgium,2021-07-23,Oxford/AstraZeneca,2558608
Belgium,2021-07-23,Pfizer/BioNTech,9544353
Belgium,2021-07-30,Johnson&Johnson,324301
Belgium,2021-07-30,Moderna,1248621
Belgium,2021-07-30,Oxford/AstraZeneca,2650303
Belgium,2021-07-30,Pfizer/BioNTech,10055438
Belgium,2021-08-06,Johnson&Johnson,333721
Belgium,2021-08-06,Moderna,1272317
Belgium,2021-08-06,Oxford/AstraZeneca,2711098
Belgium,2021-08-06,Pfizer/BioNTech,10415256
Belgium,2021-08-13,Johnson&Johnson,341198
Belgium,2021-08-13,Moderna,1289881
Belgium,2021-08-13,Oxford/AstraZeneca,2824337
Belgium,2021-08-13,Pfizer/BioNTech,10567695
Belgium,2021-08-20,Johnson&Johnson,347432
Belgium,2021-08-20,Moderna,1301455
Belgium,2021-08-20,Oxford/AstraZeneca,2834066
Belgium,2021-08-20,Pfizer/BioNTech,10667818
Belgium,2021-08-27,Johnson&Johnson,353249
Belgium,2021-08-27,Moderna,1309347
Belgium,2021-08-27,Oxford/AstraZeneca,2837743
Belgium,2021-08-27,Pfizer/BioNTech,10740397
Belgium,2021-09-03,Johnson&Johnson,359266
Belgium,2021-09-03,Moderna,1318672
Belgium,2021-09-03,Oxford/AstraZeneca,2840302
Belgium,2021-09-03,Pfizer/BioNTech,10794083
Belgium,2021-09-10,Johnson&Johnson,364237
Belgium,2021-09-10,Moderna,1325257
Belgium,2021-09-10,Oxford/AstraZeneca,2841407
Belgium,2021-09-10,Pfizer/BioNTech,10836264
Belgium,2021-09-17,Johnson&Johnson,370885
Belgium,2021-09-17,Moderna,1331727
Belgium,2021-09-17,Oxford/AstraZeneca,2842394
Belgium,2021-09-17,Pfizer/BioNTech,10888202
Belgium,2021-09-24,Johnson&Johnson,377786
Belgium,2021-09-24,Moderna,1336073
Belgium,2021-09-24,Oxford/AstraZeneca,2843028
Belgium,2021-09-24,Pfizer/BioNTech,10986516
Belgium,2021-10-01,Johnson&Johnson,382855
Belgium,2021-10-01,Moderna,1342495
Belgium,2021-10-01,Oxford/AstraZeneca,2843431
Belgium,2021-10-01,Pfizer/BioNTech,11117712
Belgium,2021-10-08,Johnson&Johnson,386868
Belgium,2021-10-08,Moderna,1345131
Belgium,2021-10-08,Oxford/AstraZeneca,2843604
Belgium,2021-10-08,Pfizer/BioNTech,11283763
Belgium,2021-10-15,Johnson&Johnson,390924
Belgium,2021-10-15,Moderna,1348779
Belgium,2021-10-15,Oxford/AstraZeneca,2843786
Belgium,2021-10-15,Pfizer/BioNTech,11454862
Belgium,2021-10-22,Johnson&Johnson,394705
Belgium,2021-10-22,Moderna,1353151
Belgium,2021-10-22,Oxford/AstraZeneca,2843904
Belgium,2021-10-22,Pfizer/BioNTech,11585701
Belgium,2021-10-29,Johnson&Johnson,399092
Belgium,2021-10-29,Moderna,1357541
Belgium,2021-10-29,Oxford/AstraZeneca,2843988
Belgium,2021-10-29,Pfizer/BioNTech,11729863
Belgium,2021-11-05,Johnson&Johnson,403343
Belgium,2021-11-05,Moderna,1364568
Belgium,2021-11-05,Oxford/AstraZeneca,2844035
Belgium,2021-11-05,Pfizer/BioNTech,11838382
Belgium,2021-11-12,Johnson&Johnson,407045
Belgium,2021-11-12,Moderna,1375328
Belgium,2021-11-12,Oxford/AstraZeneca,2844082
Belgium,2021-11-12,Pfizer/BioNTech,11970689
Belgium,2021-11-19,Johnson&Johnson,409343
Belgium,2021-11-19,Moderna,1400635
Belgium,2021-11-19,Oxford/AstraZeneca,2844129
Belgium,2021-11-19,Pfizer/BioNTech,12248894
Belgium,2021-11-26,Johnson&Johnson,411275
Belgium,2021-11-26,Moderna,1489789
Belgium,2021-11-26,Oxford/AstraZeneca,2844165
Belgium,2021-11-26,Pfizer/BioNTech,12649400
Belgium,2021-12-03,Johnson&Johnson,412449
Belgium,2021-12-03,Moderna,1586528
Belgium,2021-12-03,Oxford/AstraZeneca,2844192
Belgium,2021-12-03,Pfizer/BioNTech,13147059
Belgium,2021-12-10,Johnson&Johnson,413271
Belgium,2021-12-10,Moderna,1659538
Belgium,2021-12-10,Oxford/AstraZeneca,2844205
Belgium,2021-12-10,Pfizer/BioNTech,13702245
Belgium,2021-12-17,Johnson&Johnson,414222
Belgium,2021-12-17,Moderna,1782018
Belgium,2021-12-17,Oxford/AstraZeneca,2844214
Belgium,2021-12-17,Pfizer/BioNTech,14298164
Belgium,2021-12-24,Johnson&Johnson,414600
Belgium,2021-12-24,Moderna,2115814
Belgium,2021-12-24,Oxford/AstraZeneca,2844224
Belgium,2021-12-24,Pfizer/BioNTech,14597070
Belgium,2021-12-31,Johnson&Johnson,414851
Belgium,2021-12-31,Moderna,2319886
Belgium,2021-12-31,Oxford/AstraZeneca,2844227
Belgium,2021-12-31,Pfizer/BioNTech,14705582
Belgium,2022-01-07,Johnson&Johnson,415165
Belgium,2022-01-07,Moderna,2971871
Belgium,2022-01-07,Oxford/AstraZeneca,2844228
Belgium,2022-01-07,Pfizer/BioNTech,14899035
Belgium,2022-01-14,Johnson&Johnson,415425
Belgium,2022-01-14,Moderna,3524886
Belgium,2022-01-14,Oxford/AstraZeneca,2844228
Belgium,2022-01-14,Pfizer/BioNTech,15056687
Belgium,2022-01-21,Johnson&Johnson,415582
Belgium,2022-01-21,Moderna,3845262
Belgium,2022-01-21,Oxford/AstraZeneca,2844232
Belgium,2022-01-21,Pfizer/BioNTech,15142929
Belgium,2022-01-28,Johnson&Johnson,415695
Belgium,2022-01-28,Moderna,4004758
Belgium,2022-01-28,Oxford/AstraZeneca,2844237
Belgium,2022-01-28,Pfizer/BioNTech,15210557
Belgium,2022-02-04,Johnson&Johnson,415707
Belgium,2022-02-04,Moderna,4050474
Belgium,2022-02-04,Oxford/AstraZeneca,2844238
Belgium,2022-02-04,Pfizer/BioNTech,15229112
Bulgaria,2021-01-01,Pfizer/BioNTech,0
Bulgaria,2021-01-08,Moderna,0
Bulgaria,2021-01-08,Pfizer/BioNTech,13473
Bulgaria,2021-01-15,Moderna,491
Bulgaria,2021-01-15,Pfizer/BioNTech,17962
Bulgaria,2021-01-22,Moderna,843
Bulgaria,2021-01-22,Pfizer/BioNTech,25300
Bulgaria,2021-01-29,Moderna,1053
Bulgaria,2021-01-29,Pfizer/BioNTech,40072
Bulgaria,2021-02-05,Moderna,2207
Bulgaria,2021-02-05,Oxford/AstraZeneca,10
Bulgaria,2021-02-05,Pfizer/BioNTech,54821
Bulgaria,2021-02-12,Moderna,3333
Bulgaria,2021-02-12,Oxford/AstraZeneca,2035
Bulgaria,2021-02-12,Pfizer/BioNTech,70020
Bulgaria,2021-02-19,Moderna,6446
Bulgaria,2021-02-19,Oxford/AstraZeneca,28947
Bulgaria,2021-02-19,Pfizer/BioNTech,83960
Bulgaria,2021-02-26,Moderna,10475
Bulgaria,2021-02-26,Oxford/AstraZeneca,97630
Bulgaria,2021-02-26,Pfizer/BioNTech,104340
Bulgaria,2021-03-05,Moderna,14820
Bulgaria,2021-03-05,Oxford/AstraZeneca,143932
Bulgaria,2021-03-05,Pfizer/BioNTech,129880
Bulgaria,2021-03-12,Moderna,16988
Bulgaria,2021-03-12,Oxford/AstraZeneca,174209
Bulgaria,2021-03-12,Pfizer/BioNTech,147683
Bulgaria,2021-03-19,Moderna,20921
Bulgaria,2021-03-19,Oxford/AstraZeneca,179029
Bulgaria,2021-03-19,Pfizer/BioNTech,168956
Bulgaria,2021-03-26,Moderna,34004
Bulgaria,2021-03-26,Oxford/AstraZeneca,206835
Bulgaria,2021-03-26,Pfizer/BioNTech,195704
Bulgaria,2021-04-02,Moderna,44809
Bulgaria,2021-04-02,Oxford/AstraZeneca,230180
Bulgaria,2021-04-02,Pfizer/BioNTech,228583
Bulgaria,2021-04-09,Moderna,59160
Bulgaria,2021-04-09,Oxford/AstraZeneca,238387
Bulgaria,2021-04-09,Pfizer/BioNTech,275118
Bulgaria,2021-04-16,Johnson&Johnson,0
Bulgaria,2021-04-16,Moderna,74318
Bulgaria,2021-04-16,Oxford/AstraZeneca,241707
Bulgaria,2021-04-16,Pfizer/BioNTech,322422
Bulgaria,2021-04-23,Johnson&Johnson,0
Bulgaria,2021-04-23,Moderna,93241
Bulgaria,2021-04-23,Oxford/AstraZeneca,247383
Bulgaria,2021-04-23,Pfizer/BioNTech,382650
Bulgaria,2021-04-30,Johnson&Johnson,0
Bulgaria,2021-04-30,Moderna,108865
Bulgaria,2021-04-30,Oxford/AstraZeneca,263756
Bulgaria,2021-04-30,Pfizer/BioNTech,452036
Bulgaria,2021-05-07,Johnson&Johnson,0
Bulgaria,2021-05-07,Moderna,122688
Bulgaria,2021-05-07,Oxford/AstraZeneca,300451
Bulgaria,2021-05-07,Pfizer/BioNTech,514960
Bulgaria,2021-05-14,Johnson&Johnson,398
Bulgaria,2021-05-14,Moderna,145571
Bulgaria,2021-05-14,Oxford/AstraZeneca,364379
Bulgaria,2021-05-14,Pfizer/BioNTech,606439
Bulgaria,2021-05-21,Johnson&Johnson,2629
Bulgaria,2021-05-21,Moderna,165767
Bulgaria,2021-05-21,Oxford/AstraZeneca,401422
Bulgaria,2021-05-21,Pfizer/BioNTech,690983
Bulgaria,2021-05-28,Johnson&Johnson,6276
Bulgaria,2021-05-28,Moderna,181502
Bulgaria,2021-05-28,Oxford/AstraZeneca,411232
Bulgaria,2021-05-28,Pfizer/BioNTech,754371
Bulgaria,2021-06-04,Johnson&Johnson,11142
Bulgaria,2021-06-04,Moderna,190457
Bulgaria,2021-06-04,Oxford/AstraZeneca,435357
Bulgaria,2021-06-04,Pfizer/BioNTech,827459
Bulgaria,2021-06-11,Johnson&Johnson,17987
Bulgaria,2021-06-11,Moderna,202784
Bulgaria,2021-06-11,Oxford/AstraZeneca,457900
Bulgaria,2021-06-11,Pfizer/BioNTech,898271
Bulgaria,2021-06-18,Johnson&Johnson,25928
Bulgaria,2021-06-18,Moderna,216421
Bulgaria,2021-06-18,Oxford/AstraZeneca,467870
Bulgaria,2021-06-18,Pfizer/BioNTech,949706
Bulgaria,2021-06-25,Johnson&Johnson,33099
Bulgaria,2021-06-25,Moderna,225728
Bulgaria,2021-06-25,Oxford/AstraZeneca,470990
Bulgaria,2021-06-25,Pfizer/BioNTech,997114
Bulgaria,2021-07-02,Johnson&Johnson,39994
Bulgaria,2021-07-02,Moderna,234047
Bulgaria,2021-07-02,Oxford/AstraZeneca,472860
Bulgaria,2021-07-02,Pfizer/BioNTech,1042927
Bulgaria,2021-07-09,Johnson&Johnson,48424
Bulgaria,2021-07-09,Moderna,241862
Bulgaria,2021-07-09,Oxford/AstraZeneca,474021
Bulgaria,2021-07-09,Pfizer/BioNTech,1086383
Bulgaria,2021-07-16,Johnson&Johnson,58430
Bulgaria,2021-07-16,Moderna,247955
Bulgaria,2021-07-16,Oxford/AstraZeneca,474812
Bulgaria,2021-07-16,Pfizer/BioNTech,1127926
Bulgaria,2021-07-23,Johnson&Johnson,68108
Bulgaria,2021-07-23,Moderna,252761
